date,open,high,low,close
2020-06-05 12:56:00+09:00,1073372,1073656,1072703,1073110
2020-06-05 12:57:00+09:00,1073113,1073215,1072659,1072853
2020-06-05 12:58:00+09:00,1072847,1073398,1070333,1072916
2020-06-05 12:59:00+09:00,1073365,1075750,1072665,1075351
2020-06-05 13:00:00+09:00,1075150,1075337,1074687,1075297
2020-06-05 13:01:00+09:00,1075195,1076919,1074931,1076362
2020-06-05 13:02:00+09:00,1076290,1076573,1075879,1076052
2020-06-05 13:03:00+09:00,1076056,1077214,1075926,1076959
2020-06-05 13:04:00+09:00,1076982,1078826,1076847,1077464
2020-06-05 13:05:00+09:00,1077469,1078008,1077144,1077250
2020-06-05 13:06:00+09:00,1077249,1077397,1076544,1077203
2020-06-05 13:07:00+09:00,1077203,1077553,1076787,1077243
2020-06-05 13:08:00+09:00,1077332,1077344,1076410,1077000
2020-06-05 13:09:00+09:00,1077000,1077844,1076804,1077674
2020-06-05 13:10:00+09:00,1077656,1077700,1077068,1077180
2020-06-05 13:11:00+09:00,1077197,1077453,1076635,1076813
2020-06-05 13:12:00+09:00,1076769,1077409,1076416,1077309
2020-06-05 13:13:00+09:00,1077309,1077402,1076524,1076749
2020-06-05 13:14:00+09:00,1076749,1077697,1076415,1077659
2020-06-05 13:15:00+09:00,1077581,1077601,1076542,1076550
2020-06-05 13:16:00+09:00,1076647,1077401,1076639,1077127
2020-06-05 13:17:00+09:00,1077132,1077417,1076826,1077248
2020-06-05 13:18:00+09:00,1077173,1077404,1076774,1077240
2020-06-05 13:19:00+09:00,1077240,1077957,1076772,1077280
2020-06-05 13:20:00+09:00,1077323,1077608,1077090,1077226
2020-06-05 13:21:00+09:00,1077112,1077349,1076245,1076961
2020-06-05 13:22:00+09:00,1076958,1077933,1076767,1077479
2020-06-05 13:23:00+09:00,1077478,1077803,1077073,1077244
2020-06-05 13:24:00+09:00,1077115,1077244,1076572,1077022
2020-06-05 13:25:00+09:00,1077041,1077527,1075908,1076114
2020-06-05 13:26:00+09:00,1076220,1076294,1075543,1075543
2020-06-05 13:27:00+09:00,1075668,1075743,1073658,1073900
2020-06-05 13:28:00+09:00,1073758,1074336,1073439,1073543
2020-06-05 13:29:00+09:00,1073494,1074212,1073417,1073990
2020-06-05 13:30:00+09:00,1073994,1074056,1072592,1073563
2020-06-05 13:31:00+09:00,1073418,1073719,1072779,1073106
2020-06-05 13:32:00+09:00,1073106,1073827,1073023,1073152
2020-06-05 13:33:00+09:00,1073127,1073781,1073105,1073608
2020-06-05 13:34:00+09:00,1073608,1073754,1073058,1073136
2020-06-05 13:35:00+09:00,1073210,1073496,1072749,1073415
2020-06-05 13:36:00+09:00,1073447,1073590,1073200,1073470
2020-06-05 13:37:00+09:00,1073570,1073777,1073200,1073406
2020-06-05 13:38:00+09:00,1073407,1073646,1072567,1073150
2020-06-05 13:39:00+09:00,1073101,1073714,1073044,1073395
2020-06-05 13:40:00+09:00,1073396,1074033,1072561,1073155
2020-06-05 13:41:00+09:00,1073155,1073593,1072212,1073314
2020-06-05 13:42:00+09:00,1073297,1073540,1072862,1073095
2020-06-05 13:43:00+09:00,1072973,1073379,1072828,1072857
2020-06-05 13:44:00+09:00,1072858,1073679,1072577,1073567
2020-06-05 13:45:00+09:00,1073501,1073798,1073003,1073798
2020-06-05 13:46:00+09:00,1073607,1073856,1073309,1073312
2020-06-05 13:47:00+09:00,1073313,1073796,1073180,1073451
2020-06-05 13:48:00+09:00,1073468,1073506,1072751,1072796
2020-06-05 13:49:00+09:00,1072878,1073627,1072655,1073173
2020-06-05 13:50:00+09:00,1073214,1073259,1072913,1073211
2020-06-05 13:51:00+09:00,1073425,1073796,1072413,1072421
2020-06-05 13:52:00+09:00,1072474,1073193,1071811,1072504
2020-06-05 13:53:00+09:00,1072588,1072719,1071880,1072611
2020-06-05 13:54:00+09:00,1072717,1073059,1072415,1072751
2020-06-05 13:55:00+09:00,1072668,1072791,1072029,1072504
2020-06-05 13:56:00+09:00,1072628,1072979,1072074,1072256
2020-06-05 13:57:00+09:00,1072284,1072618,1071855,1072473
2020-06-05 13:58:00+09:00,1072597,1073281,1072506,1072706
2020-06-05 13:59:00+09:00,1072706,1074227,1072590,1073866
2020-06-05 14:00:00+09:00,1073954,1074242,1073728,1073937
2020-06-05 14:01:00+09:00,1073935,1075167,1073935,1074175
2020-06-05 14:02:00+09:00,1074175,1074676,1074010,1074175
2020-06-05 14:03:00+09:00,1074162,1074523,1073906,1074083
2020-06-05 14:04:00+09:00,1074088,1074359,1073811,1074078
2020-06-05 14:05:00+09:00,1074086,1074603,1073371,1074457
2020-06-05 14:06:00+09:00,1074491,1074954,1074295,1074830
2020-06-05 14:07:00+09:00,1074653,1075117,1074629,1074917
2020-06-05 14:08:00+09:00,1074915,1075315,1074680,1074800
2020-06-05 14:09:00+09:00,1074800,1075279,1074780,1075039
2020-06-05 14:10:00+09:00,1075067,1075418,1075039,1075153
2020-06-05 14:11:00+09:00,1075189,1075492,1074830,1074856
2020-06-05 14:12:00+09:00,1074878,1075162,1074554,1074951
2020-06-05 14:13:00+09:00,1075003,1075410,1074830,1075178
2020-06-05 14:14:00+09:00,1075113,1075209,1074826,1075105
2020-06-05 14:15:00+09:00,1075131,1075502,1074920,1075502
2020-06-05 14:16:00+09:00,1075402,1075507,1074792,1074838
2020-06-05 14:17:00+09:00,1074837,1075896,1074579,1075876
2020-06-05 14:18:00+09:00,1075846,1075929,1074657,1074897
2020-06-05 14:19:00+09:00,1074963,1075235,1074538,1075153
2020-06-05 14:20:00+09:00,1075116,1075117,1074464,1074796
2020-06-05 14:21:00+09:00,1074806,1075000,1074592,1074752
2020-06-05 14:22:00+09:00,1074770,1075421,1074634,1074751
2020-06-05 14:23:00+09:00,1074752,1075393,1074664,1075313
2020-06-05 14:24:00+09:00,1075388,1075432,1074871,1074871
2020-06-05 14:25:00+09:00,1074944,1075168,1074874,1075168
2020-06-05 14:26:00+09:00,1075084,1075236,1074575,1074628
2020-06-05 14:27:00+09:00,1074634,1075280,1074488,1074661
2020-06-05 14:28:00+09:00,1074841,1075042,1074618,1074652
2020-06-05 14:29:00+09:00,1074746,1075648,1074701,1075447
2020-06-05 14:30:00+09:00,1075286,1075646,1074997,1075161
2020-06-05 14:31:00+09:00,1075281,1075500,1074895,1075247
2020-06-05 14:32:00+09:00,1075248,1075285,1074440,1074555
2020-06-05 14:33:00+09:00,1074568,1075217,1074531,1074606
2020-06-05 14:34:00+09:00,1074550,1074775,1073825,1074049
2020-06-05 14:35:00+09:00,1073979,1074142,1073534,1073909
2020-06-05 14:36:00+09:00,1073998,1074237,1073873,1074185
2020-06-05 14:37:00+09:00,1074258,1074440,1074083,1074270
2020-06-05 14:38:00+09:00,1074310,1074444,1073585,1073585
2020-06-05 14:39:00+09:00,1073572,1073687,1073159,1073364
2020-06-05 14:40:00+09:00,1073485,1073705,1073220,1073304
2020-06-05 14:41:00+09:00,1073303,1073566,1073159,1073414
2020-06-05 14:42:00+09:00,1073436,1073889,1073094,1073337
2020-06-05 14:43:00+09:00,1073337,1073750,1073016,1073401
2020-06-05 14:44:00+09:00,1073447,1073650,1073400,1073476
2020-06-05 14:45:00+09:00,1073478,1073822,1073033,1073179
2020-06-05 14:46:00+09:00,1073179,1073800,1073172,1073583
2020-06-05 14:47:00+09:00,1073656,1073997,1073518,1073997
2020-06-05 14:48:00+09:00,1073919,1074228,1073311,1074050
2020-06-05 14:49:00+09:00,1074115,1074400,1073821,1074178
2020-06-05 14:50:00+09:00,1074068,1074321,1073078,1074000
2020-06-05 14:51:00+09:00,1074128,1074349,1073800,1074181
2020-06-05 14:52:00+09:00,1074235,1074438,1074010,1074176
2020-06-05 14:53:00+09:00,1074176,1074347,1073593,1073828
2020-06-05 14:54:00+09:00,1073828,1074048,1073457,1073643
2020-06-05 14:55:00+09:00,1073544,1073802,1073307,1073307
2020-06-05 14:56:00+09:00,1073297,1073929,1073024,1073929
2020-06-05 14:57:00+09:00,1073923,1074416,1073642,1074306
2020-06-05 14:58:00+09:00,1074338,1074416,1073623,1073788
2020-06-05 14:59:00+09:00,1073788,1074751,1073781,1074681
2020-06-05 15:00:00+09:00,1074653,1075381,1074547,1075121
2020-06-05 15:01:00+09:00,1074893,1075133,1073973,1074279
2020-06-05 15:02:00+09:00,1074226,1074369,1073661,1073661
2020-06-05 15:03:00+09:00,1073715,1074061,1073015,1073385
2020-06-05 15:04:00+09:00,1073333,1073710,1073269,1073435
2020-06-05 15:05:00+09:00,1073417,1073804,1073219,1073511
2020-06-05 15:06:00+09:00,1073511,1073660,1073038,1073245
2020-06-05 15:07:00+09:00,1073255,1073360,1072848,1073103
2020-06-05 15:08:00+09:00,1073075,1073350,1072954,1073207
2020-06-05 15:09:00+09:00,1073170,1073497,1072821,1072821
2020-06-05 15:10:00+09:00,1072845,1073396,1072234,1073191
2020-06-05 15:11:00+09:00,1073156,1073392,1072842,1073353
2020-06-05 15:12:00+09:00,1073308,1073539,1072971,1073223
2020-06-05 15:13:00+09:00,1073157,1073323,1072407,1072748
2020-06-05 15:14:00+09:00,1072683,1072969,1072179,1072480
2020-06-05 15:15:00+09:00,1072480,1072677,1071783,1071904
2020-06-05 15:16:00+09:00,1071967,1072345,1071398,1072039
2020-06-05 15:17:00+09:00,1071928,1072085,1071691,1071947
2020-06-05 15:18:00+09:00,1071885,1072441,1071821,1072253
2020-06-05 15:19:00+09:00,1072352,1073047,1072247,1073047
2020-06-05 15:20:00+09:00,1072977,1073269,1072684,1073115
2020-06-05 15:21:00+09:00,1073207,1073477,1072915,1073023
2020-06-05 15:22:00+09:00,1073036,1073550,1072959,1073550
2020-06-05 15:23:00+09:00,1073544,1073588,1073033,1073087
2020-06-05 15:24:00+09:00,1073125,1073220,1072711,1072813
2020-06-05 15:25:00+09:00,1072813,1074116,1072690,1074053
2020-06-05 15:26:00+09:00,1073920,1074075,1073502,1073729
2020-06-05 15:27:00+09:00,1073727,1073790,1073520,1073624
2020-06-05 15:28:00+09:00,1073581,1073741,1073403,1073417
2020-06-05 15:29:00+09:00,1073422,1073632,1073000,1073202
2020-06-05 15:30:00+09:00,1073263,1073672,1072943,1073007
2020-06-05 15:31:00+09:00,1072967,1073101,1069580,1070288
2020-06-05 15:32:00+09:00,1070144,1071289,1069623,1070700
2020-06-05 15:33:00+09:00,1070914,1071251,1070392,1071075
2020-06-05 15:34:00+09:00,1071038,1072462,1070849,1071172
2020-06-05 15:35:00+09:00,1071172,1071792,1070997,1071442
2020-06-05 15:36:00+09:00,1071451,1071616,1068992,1069896
